State,Sensible heating (kWh),Sensible cooling (kWh),"Latent cooling, gated (kWh)","Latent cooling, ungated (kWh)",Latent heating (kWh),Total (kWh),Total (kWh/m²),V2 residual (kWh),V2 residual (%),< 5 %?,Transmission items
Baseline,1308.6012591742424,741.8282457968048,55.76034140399059,617.3827075855587,157.99512482059313,2264.184971195631,113.20924855978156,-87.42481949015986,-1.109167036967487,PASS,7
+C1 dynamic window,1300.6328868335816,749.7146959068488,56.31937716742273,618.637628674385,157.65582145611532,2264.3227813639687,113.21613906819843,-87.09021940346062,-1.111477504796934,PASS,7
+C2 wind-dependent h_ce,1303.2757383981932,869.2901242922627,59.616625779344055,619.2375554554246,157.96507331217447,2390.1475617819747,119.50737808909874,-87.54174392707459,-1.0894667041982735,PASS,7
+Ventilation,1517.8871913928872,770.4645382287184,60.46105665355653,736.0573340932759,179.99257315330584,2528.805359428468,126.4402679714234,0.0,0.0,PASS,7
+Latent,1517.8871913928872,770.4645382287184,31.01321975202809,405.964296994137,0.011160501656891501,2319.3761098752907,115.96880549376453,0.0,0.0,PASS,7
+Internal gains,3226.3750167917738,413.47764406130335,17.733015458094066,672.8877628492191,0.044154995401977475,3657.629831306573,182.88149156532864,-55.56001913744397,-1.0221434058746244,PASS,7
+Conditioned zones,122.69192511671778,67.12109858922206,3.975874989038224,554.6211233912659,0.0,193.78889869497806,9.689444934748902,-67.58428952182457,-1.6856173861856854,PASS,7
+Ground contact,122.69192511671778,67.12109858922206,3.975874989038224,554.6211233912659,0.0,193.78889869497806,9.689444934748902,-9.313225746154785e-13,-2.3240930714105755e-14,PASS,7
+Hemisphere,122.69192511671778,67.12109858922206,3.975874989038224,554.6211233912659,0.0,193.78889869497806,9.689444934748902,-9.313225746154785e-13,-2.3240930714105755e-14,PASS,7
+Closure fixes,122.69192511671778,67.12109858922206,3.975874989038224,554.6211233912659,0.0,193.78889869497806,9.689444934748902,-9.313225746154785e-13,-2.3240930714105755e-14,PASS,7
