State,Sensible heating (kWh),Sensible cooling (kWh),"Latent cooling, gated (kWh)","Latent cooling, ungated (kWh)",Latent heating (kWh),"Total, sensible + gated latent (kWh)",Total (kWh),Total (kWh/m²),V2 residual (kWh),V2 residual (%),< 5 %?,Transmission items
Baseline,1779.360276066416,640.8369660455513,26.12147101507936,900.051690511355,152.65064609492043,2446.3187131270465,2598.969359221967,129.94846796109834,-96.71790169576276,-1.164495988937777,PASS,7
+C1 dynamic window,1783.9601702679572,606.0653862247516,25.336405271827285,905.2672751374176,152.71397792643347,2415.361961764536,2568.07593969097,128.40379698454848,-95.96874537371657,-1.17097210272477,PASS,7
+C2 wind-dependent h_ce,1788.1086831949326,580.767120231178,25.023648893409582,906.2891128493923,152.90545223745005,2393.89945231952,2546.80490455697,127.3402452278485,-95.6901811762154,-1.1743849867299774,PASS,7
+Ventilation,2057.791805447698,488.0008901859343,24.930877215799644,1068.1984311804365,174.13522606609132,2570.723572849432,2744.8587989155235,137.2429399457762,-89.34423984024953,-1.0652734649639861,PASS,7
+Latent,2057.791805447698,488.0008901859343,15.384871187451063,593.6899254519062,0.003251599275057222,2561.1775668210835,2561.1808184203583,128.05904092101792,-89.34423984024953,-1.0652734649639861,PASS,7
+Internal gains,4040.606391797934,209.92855422357016,7.663621735116188,887.8048938254218,0.013987220514684937,4258.19856775662,4258.2125549771345,212.9106277488567,-65.85343737600279,-1.1198125188245187,PASS,7
+Conditioned zones,172.82318444266642,6.341764988898292,0.7808670904250177,670.7446913037776,0.0,179.9458165219897,179.9458165219897,8.997290826099485,-77.02107782483567,-1.9393479412924872,PASS,7
+Ground contact,172.82318444266642,6.341764988898292,0.7808670904250177,670.7446913037776,0.0,179.9458165219897,179.9458165219897,8.997290826099485,0.0,0.0,PASS,7
+Hemisphere,172.82318444266642,6.341764988898292,0.7808670904250177,670.7446913037776,0.0,179.9458165219897,179.9458165219897,8.997290826099485,0.0,0.0,PASS,7
+Closure fixes,172.82318444266642,6.341764988898292,0.7808670904250177,670.7446913037776,0.0,179.9458165219897,179.9458165219897,8.997290826099485,0.0,0.0,PASS,7
