State,Steps,Cooling plant on (h),Heating plant on (h),Latent charged (h),Gated latent cooling (kWh),Ungated latent cooling (kWh),Removed by the gate (kWh),Charged with cooling off (kWh),Charged while heating (kWh),Latent heating (kWh)
Baseline,8760,851,2790,178,26.12147101507936,900.051690511355,873.9302194962756,0.0,0.0,152.65064609492043
+C1 dynamic window,8760,834,2808,173,25.336405271827285,905.2672751374176,879.9308698655904,0.0,0.0,152.71397792643347
+C2 wind-dependent h_ce,8760,813,2817,171,25.023648893409582,906.2891128493923,881.2654639559827,0.0,0.0,152.90545223745005
+Ventilation,8760,670,3166,149,25.10188410032907,1148.4867911504991,1123.38490705017,0.0,0.0,184.93867978134023
+Latent,8760,670,3166,631,14.53331065579474,634.2353594045688,619.7020487487741,0.0,0.0,0.00466355070506795
+Internal gains,8760,335,4636,305,7.06821236779081,934.2903764309395,927.2221640631487,0.0,0.0,0.015729108236347357
+Conditioned zones,8760,24,817,21,0.5296098654563619,718.5606746754377,718.0310648099813,0.0,0.0,0.0
+Ground contact,8760,24,817,21,0.5296098654563619,718.5606746754377,718.0310648099813,0.0,0.0,0.0
+Hemisphere,8760,24,817,21,0.5296098654563619,718.5606746754377,718.0310648099813,0.0,0.0,0.0
+Infiltration supply temp,8760,58,654,51,1.2218434493728418,634.9771908071482,633.7553473577753,0.0,0.0,0.0
+Infiltration envelope area,8760,51,559,45,1.0495856036277016,589.3300576096559,588.2804720060282,0.0,0.0,0.0
+AU q50 recalibration,8760,54,575,47,1.1395602760521755,600.1110966849395,598.9715364088873,0.0,0.0,0.0
+Closure fixes,8760,54,575,47,1.1395602760521755,600.1110966849395,598.9715364088873,0.0,0.0,0.0
+Wind profile,8760,73,580,66,1.5090739271217328,597.8626485393066,596.353574612185,0.0,0.0,0.0
