State,Inputs (kWh),Outputs (kWh),Storage (kWh),V2 residual (kWh),V2 residual (%),< 5 %?,Transmission items,Re-integration error (%)
Baseline,8305.559024208089,8402.27692590385,0.0,-96.71790169576276,-1.164495988937777,PASS,7,1.1311202120174996e-13
+C1 dynamic window,8195.647458244654,8291.61620361837,0.0,-95.96874537371657,-1.17097210272477,PASS,7,2.2866159389532097e-13
+C2 wind-dependent h_ce,8148.110053983272,8243.800235159488,0.0,-95.6901811762154,-1.1743849867299774,PASS,7,2.2932313872555897e-13
+Ventilation,8517.970774345968,8604.424253829487,0.0,-86.45347948351875,-1.0149539341446834,PASS,7,0.0
+Latent,8517.970774345968,8604.424253829487,0.0,-86.45347948351875,-1.0149539341446834,PASS,7,0.0
+Internal gains,6070.39712288326,6133.778500904679,0.0,-63.38137802141998,-1.0441059577880747,PASS,7,1.4104644822920054e-13
+Conditioned zones,4117.26374956038,4190.145431763545,0.0,-72.88168220316525,-1.7701484926960818,PASS,7,4.474494007603287e-14
+Ground contact,4115.73280929441,4115.732809294398,1.1641532182693482e-11,0.0,0.0,PASS,7,4.474494007603287e-14
+Hemisphere,4115.73280929441,4115.732809294398,1.1641532182693482e-11,0.0,0.0,PASS,7,4.474494007603287e-14
+Infiltration supply temp,3883.0413935365395,3883.0413935365605,-2.0489096641540526e-11,0.0,0.0,PASS,7,7.77960470522136e-14
+Infiltration envelope area,3716.267701496501,3716.2677014964856,1.5366822481155396e-11,0.0,0.0,PASS,7,3.850457995367775e-14
+AU q50 recalibration,3757.06116956479,3757.061169564789,0.0,9.313225746154785e-13,2.4788592268870642e-14,PASS,7,0.0
+Closure fixes,3757.06116956479,3757.061169564789,0.0,9.313225746154785e-13,2.4788592268870642e-14,PASS,7,0.0
+Wind profile,3822.499017412311,3822.4990174123027,8.381903171539306e-12,0.0,0.0,PASS,7,1.257316666376654e-14
