State,Sensible heating (kWh),Sensible cooling (kWh),"Latent cooling, gated (kWh)","Latent cooling, ungated (kWh)",Latent heating (kWh),"Total, sensible + gated latent (kWh)",Total (kWh),Total (kWh/m²),V2 residual (kWh),V2 residual (%),< 5 %?,Transmission items
Baseline,1779.360276066416,640.8369660455513,26.12147101507936,900.051690511355,152.65064609492043,2446.3187131270465,2598.969359221967,129.94846796109834,-96.71790169576276,-1.164495988937777,PASS,7
+C1 dynamic window,1783.9601702679572,606.0653862247516,25.336405271827285,905.2672751374176,152.71397792643347,2415.361961764536,2568.07593969097,128.40379698454848,-95.96874537371657,-1.17097210272477,PASS,7
+C2 wind-dependent h_ce,1788.1086831949326,580.767120231178,25.023648893409582,906.2891128493923,152.90545223745005,2393.89945231952,2546.80490455697,127.3402452278485,-95.6901811762154,-1.1743849867299774,PASS,7
+Ventilation,2197.416632928695,445.6804723080103,25.10188410032907,1148.4867911504991,184.93867978134023,2668.1989893370346,2853.1376691183746,142.65688345591872,-86.45347948351875,-1.0149539341446834,PASS,7
+Latent,2197.416632928695,445.6804723080103,14.53331065579474,634.2353594045688,0.00466355070506795,2657.6304158925,2657.635079443205,132.88175397216025,-86.45347948351875,-1.0149539341446834,PASS,7
+Internal gains,4228.45517544853,180.787766366915,7.06821236779081,934.2903764309395,0.015729108236347357,4416.311154183236,4416.326883291473,220.81634416457365,-63.38137802141998,-1.0441059577880747,PASS,7
+Conditioned zones,210.27900152246218,4.124680938318784,0.5296098654563619,718.5606746754377,0.0,214.93329232623734,214.93329232623734,10.746664616311866,-72.88168220316525,-1.7701484926960818,PASS,7
+Ground contact,210.27900152246218,4.124680938318784,0.5296098654563619,718.5606746754377,0.0,214.93329232623734,214.93329232623734,10.746664616311866,0.0,0.0,PASS,7
+Hemisphere,210.27900152246218,4.124680938318784,0.5296098654563619,718.5606746754377,0.0,214.93329232623734,214.93329232623734,10.746664616311866,0.0,0.0,PASS,7
+Infiltration supply temp,153.94914284211782,15.147997358852987,1.2218434493728418,634.9771908071482,0.0,170.31898365034365,170.31898365034365,8.515949182517183,0.0,0.0,PASS,7
+Infiltration envelope area,114.86513534711676,12.8864955176551,1.0495856036277016,589.3300576096559,0.0,128.80121646839956,128.80121646839956,6.440060823419978,0.0,0.0,PASS,7
+AU q50 recalibration,123.73935270023311,13.414397225998059,1.1395602760521755,600.1110966849395,0.0,138.29331020228335,138.29331020228335,6.914665510114167,9.313225746154785e-13,2.4788592268870642e-14,PASS,7
+Closure fixes,123.73935270023311,13.414397225998059,1.1395602760521755,600.1110966849395,0.0,138.29331020228335,138.29331020228335,6.914665510114167,9.313225746154785e-13,2.4788592268870642e-14,PASS,7
+Wind profile,122.87821931159378,19.8970438065106,1.5090739271217328,597.8626485393066,0.0,144.28433704522612,144.28433704522612,7.214216852261306,0.0,0.0,PASS,7
